,Sentiment,Tweet
295,negative, Luckily I disinfectant wipes job you Youre welcome 
296,positive, Joanne San Diego staff phenomenal Give girl raise She handled  better anyone
297,negative, delayed bag friend Lisa Pafe She got bag  days Costa Rica Issue updates system
298,negative,  address assult drinks spilled drunk passenger wheelchair get plane
299,negative, TY But site says  Please note offer print subscription service American Way 
300,negative, apology Cool
301,negative, Only fluctuated aa took  hrs call backEnded paying extra US statement true
302,negative, Priceless United stranded daughter OHare United zero keep safealone plastic chair h  United Air
303,negative, I given connection  overnight layovers No vouchers Last connection even confirmed
304,negative, still waiting hear back My wallet stolen one planes would appreciate resolution
305,neutral, million mile flier Im embarrassed ask long ago launched
306,negative, ok makes sense tho Since give free upgrade first
307,negative, Yes without bags  first class tickets Tahiti would nice Just saying
308,positive, worries even though I talking seat assignment 
309,negative, I least get response I tried gate person sent wrong way cust srvc  Cust Srvc when I found them
310,negative, want deal me world might want know treating customers 
311,negative, I deeply disappointed birthday promo applied trip I booked mere days I received email
312,negative, certain flights CLTNYC The notion cant rebook customers  hours absurd
313,negative, Ive trying change Thursday flight theres ridiculous wait time phone website helping
314,positive, love guys pls get direct routes LAS AUS
315,positive, snacks left purpose team  helpful morning desk phone
316,negative, too In future better harsh weather preparedness plan So much staff called everything snowballed
317,negative, no Booked seat Dallas live Dallas Real nice gate agent exit row available told available
318,positive, Thats I love JetBlue 
319,negative, RT  Paid early bird boarding got B I said lady well system dead She understand
320,positive, wish I afford fly next Friday going back home love everything airline
321,neutral, Can wifes RR points transferred RR account
322,neutral, ask ask pilot tell name aiecraft
323,negative, Tried filling status match form got hit error message How I tell went through 
324,negative, offers provide us hotel anything flight  hours away
325,negative, flight  first officer even airport wow Unreal staff waited boarded announce delayed
326,negative, pulling away gate get departure time leaving us tarmac claiming power issues magically repaired
327,negative,  kid wants fucking money 
328,negative,    REALLY 
329,neutral, getting ready book flight San Juan Was wondering Does United waive baggage fees military personnel Thanks
330,negative, flight Cancelled Flightled call accepting calls How I reschedule flight
331,negative, point told sold voucher I fast enough
332,neutral, Wed love help Shanese BryantMelton hardworking grandmother DC go Miami Its bucket list 
333,positive, Oh well Ill get Cancun eventually
334,negative, Can please follow Dm missing bag
335,negative, hell overbook plane knew people actually seat assignments    poorplanning
336,negative, I need make changes I reserved seats I bought tickets error  comp seats
337,negative, whos charge company My wife missed connection CA sent luggage another flight
338,neutral, unfortunately no lack status thats big problem My company policy forces buy cheapest tickets
339,neutral,   planes  
340,negative, I told csr I would close acct care less
341,negative, flight  My frustration boiled dealing attendant Her attitude ridiculous
342,neutral,s CEO battles appease passengers Wall Street  Waterbury Republican American 
343,positive, rocks Open letter flight attendant  lt child inspired Thank you
344,negative, even give option hold Just say lines busy Plz try Late Flightr
345,negative, What happening Reagan Airport DCA Long lines four people working checkIn  
346,negative, care elaborate CHA DCA Cancelled Flightled evening
347,positive,  Orlando Dca  And awesome flight attendant Robert
348,positive, Customer Centricity knowing people 
349,positive, Thank you
350,negative, mobile site broken shows headerelevateUsernumOfPointsAvailable    number Points let checkin
351,neutral, any site gmail facebook etc
352,neutral, Ps I right
353,negative, ticket counter people helping want charge money even horrible day
354,negative, Weve sitting gate two hours waiting bags loaded Im telling Herb
355,negative, patient  originally  
356,neutral, need flight ATH PDX Do coordinate airlines
357,negative, I hope customer service reps reliablefriendly usually are far living  repexper
358,negative, LITERALLY told theyd rather empty seat mom get come earlier  take Dr appointment WOW
359,negative, friends stuck KPHL getting help anyone guys contact please
360,negative, got nothing it Just dissapointment 
361,positive, Shavon customer service desk Charlotte fantastic So helpful smiling evn sounds like long dayReward
362,neutral, Our fleets fleek 
363,negative, diverged Burlington Vermont This sucks
364,positive, Cancelled Flight flight anytime keep night 
365,negative, lieslieslies Worst travel experience life Day  clothes vaca    
366,negative, case making jackass allowed favor sayget right care lessme vacation true seeeter scott
367,negative, Your response could made difference It could made situation better NO TRUSTGET LOST like bag
368,negative,  Cancelled Flightled Cant get two days No explanation
369,negative, Been sitting outside gate  mins LGA Why move another gate Wee baking plane flight 
370,neutral, Thank you
371,positive, Hi I saw Black History month commercial TV  Im excited In support monthwill grant  free trip
372,negative, MIGHT went through No confirmation Please wait form
373,negative, accordingly U dont respond
374,positive, do Just need get CVG bag too Thanks
375,positive, KUDOS phone support Charlotte gate staff
376,negative, tag number Luggage taken weigh scale appears sent conveyor belt without tag
377,negative, I think status nothing I think bug search system
378,negative, I open credit card earn  miles wont credit miles account restore forfeited miles
379,negative, worst experience time Will never ever ever travel again EVER
380,negative, roundtrip London   I think I will FYI thats another k lost  
381,neutral, whats status flight  sju
382,negative, I shows one flight one way When I try go home page book roundtrip theres nothing available 
383,negative, ass backwards process using credits flights even trying get hold customer relations impossible
384,positive, Thank person Houston could get flight routing Newark NJ Im going SFO
385,negative, It good  K team nothing short amazing everything
386,negative, Thks  tip Seems like workaround rather customerfriendly solution They easily accessible email
387,negative, yep long waiting phone managed rebook it Hope pleasent one Thanks ur help
388,positive, Aww Thanks AADFW GMA AMso understand Btw AA Airline im able trvLove guys
389,negative, I Cancelled Flightled ticket taking two months  refund still waiting
390,negative, Ill sendingposting complete details circumstances surrounding matter United airlines ashamed
391,negative, Why load us flying sardine knew pilots  hours Late Flight  beyond belief
392,negative, guys work never fly guys again
393,negative, Flight tomorrow already Cancelled Flightled I now
394,neutral, How much baggage check International flights
395,negative,  says bags left Miami returned following mechanical glitch gtgt 
396,negative, Charlotte Staff needs prayerdisappointed response mishaps lotttttttt pissed people here
397,negative, Once lack customer centricity us astounding
398,negative, offered voucher switch flights Now voucher offer doesnt exist  gate agent switched delayed flight
399,negative, would kill let know many minutes I might hold
400,positive, got squared away Thank you I man inside help out
401,negative, But friendly efficient air attendants coach  
402,positive, thx  fingers crossed found
403,negative, ANA ticket holders get use lounge too But us Because United booked us 
404,negative, missed flight connection due flight attendant delay Yet voucher part 
405,negative,  see James  dedicated inbound phone lines telephones eat billions profits
406,neutral, uk I saw American  old colours  Saturday Was surprised see
407,negative, A bunch flights delayed FFL Northeast destinations No announcements gate Whats going on
408,negative,  Flight Cancelled Flightled Have rebooked pm flight If time take off Ill spent  extra hours DCA
409,negative, Cancelled Flighting us airways credit card choosing airlines experience week
410,negative, terrible customer service  feel need notify customers flights delayed
411,negative, weather excuse poor customer service lack info staff fact staff turned
412,neutral, Flight  operated  NMA arrives  following flight Reagan National 
413,positive, I excited I saw fly there 
414,negative, ridic cant transfer credit   youre taking  Cancelled Flightling Atleast let keep credit damn
415,negative, UA still taking pm Im stuck tarmac UA waiting get in
416,neutral,  lmfao
417,negative, wifi slow What point one cant get Internet Ugh
418,negative, horrendous service ever  On two planes Been Phil  hrs Now captain cant get flight info print 
419,negative, left item plane calling non stop one answering please help
420,neutral, wife flying atlanta vegas March th since get tricities Tn
421,negative, terribly inspired call customer service future now
422,neutral, Not blaming Jet Blue This weather Cant planes air runways mess Thats disaster waiting happen
423,neutral,  explain come I get free upgrade US exe plat exit row seating wout paying confused
424,negative, vouchers  Cancelled Flighted flight due  weather Todays issue broken tire No vouchers cause tire broken weather 
425,negative, Slightly better Crew spent long time searching better altitude Would helped let pax sharp drops
426,negative, bag lost I travel united Please something
427,negative, prove
428,neutral, agree Richard P Literally ripped tixs faces made rude inappropriate comments us family Awful
429,negative,  WTF stuck JFK  hrs delay Boston cuz u say snow No snow weather map WTF
430,positive, sent another  drink couponsI think I  coupons now free drinks anyone
431,negative, keeps dropping call even let stay hold too busy 
432,negative, worst customer service airline company 
433,negative, reroute BOS JAX via DCA CLT instead forcing overnight  
434,negative, cant link flight last week TruBlue account  num answeringdont make fly  again dont it
435,negative, told lostyou guys know
436,positive,Kudos well deserved Just wish rest  experience today measured exle
437,negative, Existing reservation fine I talking longer  CMHORD option  gets Late Flight
438,negative, Apologize President Once employees blamed him I heard repeated  times
439,positive, INCREDIBLE customer service Ive ever experienced So refreshing
440,negative, Im one  JFK LAXWhen r u upgrading planesPlane Screenslousy seats And thats UnitedFirst
441,negative,   consecutive days I cant get person On hold  hours still going
442,neutral, time check open flight UA Manchester Newark today 
443,negative, send someone customer service counter person DIA concourse B across gate Ba
444,neutral, landed Phoenix board flight quickly Vegas time airport What now
445,negative,  days  planes mechanical issues Now  hrs Late Flight sitting plane This insane
446,positive,  I  today YYZ I bit bag issue cleared beautifully Thank check
447,negative, really  hr delay Virgin Island even food voucher
448,negative, something wrong website matter flight I select says longer available
449,negative, thats funny I emailed  found left LHR In mean time stuck bag NYC
450,neutral, dragonss LAUREN HoLY SHT
451,neutral, I saw ppl winning tickets still win some
452,negative,Meanwhile fucked flight  The festivities already full swing United Fairway Club overlooking th hole
453,negative,  Logan  boarding gong show due lax carry enforcement Bins full coats  room bags U need better system
454,neutral, Our fleets fleek  
455,negative, Your baggage tracking system worthless It tells nothing bag is much less plans get
456,neutral, already DM concern Pls check
457,negative, wrong Boston Why plains leaving tonight Son needs get back state college PA
458,neutral, flying back Denver tomorrow Should I rebook
459,negative, yes please I newly married trying update last name preexisting international flight It seems easy but
460,neutral,  AEX Is still going
461,negative, obviously see agentbooked us tomorrow morning No hotel transportation   
462,negative, Were flight  Vegas Boston today checked online bag count register Can I fix somehow
463,neutral, How I get receipt change fee I originally booked miles
464,negative, delayed agAin United Gate agent borderline rude I asked flight status question What happening United
465,neutral, We invite Fallow  learn activitiesPrevention Programs Health CondomRito FamilyWe R CThanks
466,positive, guys rock 
467,positive, good thing holding flight  peeps Late Flight connecting flight Well still make destination time
468,negative, living DFW Your Hub Hate fly JFK get Ireland
469,negative, We major planewide DirectTV issues yesterday System kept reset crew member
470,negative, I cant choose seat online I booked   
471,positive, thank integrating Passbook iOS works much better now
472,negative, uniteds service levels reaches Etihad lets realistically Lufthansa ill consider
473,neutral, To DC summer help local youth get ready return school math refresher courses 
474,neutral, plans support  board I USAirways MC would nice still use I forget card
475,negative, considering Im stuck Newark virtually sleep  hours I doubt  hope car rentals available
476,negative, You Cancelled Flight flight theres way rebook website app I wait  minutes hold  cc 
477,negative,  Pls Fix  issues Had pay way  flight Cancelled Flight Left us cold DEN
478,negative, booked flights   Was charged  twice Means I cant redeem CC points properly Would gone elsewhere
479,neutral, disappointed Flight Booking Problems process addl fees sit together crowded flight Not impressed far 
480,positive, Will do Appreciate replies though
481,positive, good Thank you
482,negative, Ive called resolve dividend miles issue week avail Please advise ASAP
483,positive, I not Shes woman whos lead working gate c
484,neutral, got callback  am took care it thanks
485,negative, nope here You need little red st counter Check yourself wreck son 
486,negative, best  message saying use website website saying need call If answer 
487,negative, request nothing rescheduling But customer service bad attitude today 
488,negative, Its fact international bag sense whats going maintenance
489,neutral, unfortunately I even that My phone died chance grab it It OMA SAN 
490,negative, cost  dollars flight Cancelled Flightled even give food comp Fly   take
491,positive, thats now Thank you
492,negative, What that Why even bother catering dog food one eat  
493,neutral, Just left  now little  hours
494,neutral, rebooked due weather need change reservation fly th instead rd
495,positive, Oh totally looks par s Admirals Club way slide us couple passes 
496,neutral,Youve met matchGot status another airline Upgrade   ESar 
497,neutral,  Group  line gets longer every week Almost one left Groups  anymore Time make Explorer Card Group 
498,negative, Already checked page expired X
499,negative, better train support staff appropriate decorum consider revisiting terrible provide death certificate policy
500,neutral, livery back day 
501,negative, well going help Ivebeen hold  hrs  client wants ff nbr record hes elite wAA
502,negative, missing amazing us bank work conference ok What I now
503,positive,    what great first night  
504,negative, proper response sorry wait flight  look issue Thats  would handle
505,positive, thanks info Already board Looking forward future upgrades  
506,positive, thanks forcing check in carry  luggage That exactly I spent extra money travel size toiletries
507,negative, chance I wait ORD afternoon another flight screwed me Hold 
508,negative,  us stranded And flying New Orleans Huston tonight stuck two days Rather fly wait
509,positive, putting great deals PDX LAS LAS PDX show love 
510,neutral, unfortunately not I think I watched take bus Rebooked Late Flightr flight 
511,positive, yeah haha Never one Its expensive will So much fun 
512,neutral, I corporatepaid travel April Is possible purchase upgrade first class now
513,neutral, order  
514,negative, Fingers crossed  intact Very disappointed experience actually saying enjoyed using
515,neutral,RT  Our fleets fleek 
516,neutral, My post disappointment Im frequent United flyer simple   bad apple spoil bunch
